ticker,annual_return,annual_volatility,observations
XLB,0.07490080102208752,0.23108761980309636,1512
XLC,0.09309326745559532,0.2368712994552026,1512
XLE,0.035259852312435225,0.34467178809238436,1512
XLF,0.07306153530466641,0.25064652688809685,1512
XLI,0.09100169122272872,0.2244760470142802,1512
XLK,0.20876645924536685,0.26598416672425435,1512
XLP,0.074310508611523,0.1636501376304457,1512
XLRE,0.03508046986153479,0.23644973825860977,1512
XLU,0.05777197540998613,0.21850479747980975,1512
XLV,0.09672165257032961,0.1801739669231733,1512
XLY,0.08446873733663374,0.24434565252004833,1512
