ticker,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
XLB,1.0,0.6741717580164963,0.6833535965225069,0.8490363946318115,0.8959975144844278,0.7155454796522176,0.6805118651004809,0.710037240707487,0.6034858662085977,0.7207033038530006,0.7517778090003394
XLC,0.6741717580164963,1.0,0.44656951297797653,0.6668267975244033,0.6892235370507055,0.8527688857966723,0.5797800364561273,0.6040106258623948,0.4487736734417677,0.6699541552437429,0.8219012957253325
XLE,0.6833535965225069,0.44656951297797653,1.0,0.7193336513626158,0.7033419806209128,0.45197353811713054,0.43720645497347443,0.47680314528252854,0.3963969255994985,0.493085469862381,0.4908696190951724
XLF,0.8490363946318115,0.6668267975244033,0.7193336513626158,1.0,0.8921715513701113,0.6867880405871255,0.666705754508164,0.6966342829871071,0.579280539318603,0.7084359625851857,0.7344105642655202
XLI,0.8959975144844278,0.6892235370507055,0.7033419806209128,0.8921715513701113,1.0,0.7403128013063215,0.7033670024940856,0.7336619650295247,0.6168942907842262,0.744396989148457,0.7801298656557684
XLK,0.7155454796522176,0.8527688857966723,0.45197353811713054,0.6867880405871255,0.7403128013063215,1.0,0.6190039627381556,0.6353034277051537,0.4749675193630933,0.7319936607621779,0.8566575346852349
XLP,0.6805118651004809,0.5797800364561273,0.43720645497347443,0.666705754508164,0.7033670024940856,0.6190039627381556,1.0,0.717017660392403,0.7573265136737544,0.7611132570601663,0.606530466729114
XLRE,0.710037240707487,0.6040106258623948,0.47680314528252854,0.6966342829871071,0.7336619650295247,0.6353034277051537,0.717017660392403,1.0,0.7773730528885631,0.7028924017285433,0.6712857299977513
XLU,0.6034858662085977,0.4487736734417677,0.3963969255994985,0.579280539318603,0.6168942907842262,0.4749675193630933,0.7573265136737544,0.7773730528885631,1.0,0.6586806835412656,0.4833376788339896
XLV,0.7207033038530006,0.6699541552437429,0.493085469862381,0.7084359625851857,0.744396989148457,0.7319936607621779,0.7611132570601663,0.7028924017285433,0.6586806835412656,1.0,0.6735102896973042
XLY,0.7517778090003394,0.8219012957253325,0.4908696190951724,0.7344105642655202,0.7801298656557684,0.8566575346852349,0.606530466729114,0.6712857299977513,0.4833376788339896,0.6735102896973042,1.0
