ticker,date,weekly_ratio,current_block_high,current_block_low,prior_block_high,prior_block_low,high_delta,low_delta,direction
XLB,2026-04-17,0.0735683684543526,0.0771341572583358,0.0721155755445682,0.0780622243448238,0.0710808633071763,-0.0009280670864879881,0.001034712237391891,TRANSITION
XLC,2026-04-17,0.1688814667455728,0.1727302348696648,0.1677066983535168,0.1746127666623886,0.1675406316740958,-0.0018825317927237961,0.0001660666794209842,TRANSITION
XLE,2026-04-17,0.0800767499612592,0.098661071336406,0.0800767499612592,0.0838161120653324,0.0734961525630092,0.014844959271073599,0.006580597398249996,HH/HL
XLF,2026-04-17,0.0749001174590014,0.0755226163619035,0.0736426775319214,0.078378759648361,0.0747922318737967,-0.002856143286457502,-0.001149554341875303,LH/LL
XLI,2026-04-17,0.2449056888735761,0.252435755932324,0.2449056888735761,0.2582050254227784,0.2390667268805746,-0.005769269490454421,0.005838961993001518,TRANSITION
XLK,2026-04-17,0.2138029141264486,0.2138029141264486,0.2048920384590098,0.2082370600683261,0.2025775363293114,0.005565854058122516,0.0023145021296984147,HH/HL
XLP,2026-04-17,0.1161342008640696,0.1289722205297157,0.1161342008640696,0.1309161447191358,0.1203366835721989,-0.0019439241894201043,-0.004202482708129299,LH/LL
XLRE,2026-04-17,0.0620909878556359,0.0635409460656036,0.0620909878556359,0.0636543262261134,0.0596352236060453,-0.00011338016050979616,0.0024557642495906043,TRANSITION
XLU,2026-04-17,0.0659215538797174,0.0718983081608685,0.0659215538797174,0.0692839018779159,0.0622382777902486,0.0026144062829525916,0.0036832760894688066,HH/HL
XLV,2026-04-17,0.2113900183359802,0.225930054786195,0.2113900183359802,0.2332101531594039,0.2233151028828204,-0.007280098373208921,-0.011925084546840187,LH/LL
XLY,2026-04-17,0.1691678708421204,0.1691678708421204,0.1649055375747816,0.1752349651408526,0.1703240499277734,-0.006067094298732201,-0.005418512352991789,LH/LL
